,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,orgunitlevel6,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017,Malaria Deaths W25 2019,Malaria Deaths W24 2019,Malaria Deaths W23 2019,Malaria Deaths W22 2019,Malaria Deaths W21 2019,Malaria Deaths W26 2018,Malaria Deaths W25 2018,Malaria Deaths W24 2018,Malaria Deaths W23 2018,Malaria Deaths W22 2018,Malaria Deaths W26 2017,Malaria Deaths W25 2017,Malaria Deaths W24 2017,Malaria Deaths W23 2017,Malaria Deaths W22 2017,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017
30,Rwanda,East,Bugesera District,Nyamata Sub District,Ririma,Bugesera Prison,z3XkcxbqcUm,Bugesera Prison,456,,,,,,,0.0,1.0,0.0,0.0,0.0,6.0,9.0,5.0,3.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,6.0,9.0,5.0,3.0,1.0
31,Rwanda,West,Rubavu District,Gisenyi Sub District,Bugeshi,Bugeshi CS,a87p51CPL8O,Bugeshi CS,1232,,,,,,,,1.0,3.0,6.0,8.0,2.0,2.0,4.0,3.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,3.0,6.0,8.0,2.0,2.0,4.0,3.0,4.0
32,Rwanda,East,Kayonza District,Gahini Sub District,Murundi (Kayonza District),Buhabwa CS,XEKIdeemhRa,Buhabwa CS,496,,,,,,,146.0,253.0,200.0,234.0,223.0,268.0,299.0,308.0,274.0,223.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,146.0,253.0,200.0,234.0,223.0,268.0,299.0,308.0,274.0,223.0
33,Rwanda,East,Kirehe District,Kirehe Sub District,Nyamugari,Bukora CS,MJSENw3AjJ3,Bukora CS,419,,,,,,,,40.0,7.0,6.0,26.0,199.0,163.0,285.0,186.0,294.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.0,7.0,6.0,26.0,199.0,163.0,285.0,186.0,294.0
34,Rwanda,Kigali City,Gasabo District,Kibagabaga Sub District,Bumbogo,Bumbogo (ex-Gikomero I) CS,p1pOsGWOLPu,Bumbogo (ex-Gikomero I) CS,552,,,,,,,46.0,98.0,83.0,86.0,120.0,118.0,133.0,105.0,118.0,109.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,46.0,98.0,83.0,86.0,120.0,118.0,133.0,105.0,118.0,109.0
35,Rwanda,North,Burera District,Butaro Sub District,Bungwe,Bungwe (burera) CS,imxPGApQhH3,Bungwe (burera) CS,320,,,,,,,2.0,4.0,5.0,3.0,5.0,8.0,5.0,20.0,7.0,6.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,4.0,5.0,3.0,5.0,8.0,5.0,20.0,7.0,6.0
36,Rwanda,West,Ngororero District,Muhororo Sub District,BWIRA,Bungwe (ngororero) Fosacom,tiYGu6MLbOS,Bungwe (ngororero) Fosacom,629,,,,,,,4.0,6.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,6.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
37,Rwanda,South,Muhanga District,Kabgayi Sub District,Kabacuzi,Buramba CS,NaLABAD5dpW,Buramba CS,128,,,,,,,12.0,92.0,92.0,90.0,96.0,243.0,137.0,132.0,118.0,87.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12.0,92.0,92.0,90.0,96.0,243.0,137.0,132.0,118.0,87.0
38,Rwanda,North,Rulindo District,Rutongo Sub District,BUREGA,Burega CS,neqsC92lhCN,Burega CS,1425,,,,,,,6.0,13.0,30.0,27.0,47.0,24.0,22.0,17.0,6.0,22.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,13.0,30.0,27.0,47.0,24.0,22.0,17.0,6.0,22.0
39,Rwanda,South,Nyamagabe District,Kaduha Sub District,Buruhukiro,Buruhukiro CS,Qw1UwCvSkUT,Buruhukiro CS,1343,HC,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,2.0
40,Rwanda,Kigali City,Kicukiro District,Masaka Sub District,Kanombe,Busanza CS,DegiMX7LbtQ,Busanza CS,30,,,,,,,45.0,96.0,107.0,131.0,95.0,96.0,113.0,110.0,68.0,138.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,45.0,96.0,107.0,131.0,95.0,96.0,113.0,110.0,68.0,138.0
41,Rwanda,West,Rubavu District,Gisenyi Sub District,Busasamana (Rubavu District),Busasamana CS,ryHi2WBeo4a,Busasamana CS,195,,,,,,,6.0,5.0,6.0,7.0,2.0,10.0,9.0,6.0,7.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,5.0,6.0,7.0,2.0,10.0,9.0,6.0,7.0,4.0
42,Rwanda,North,Gakenke District,Nemba Sub District,Busengo ,Busengo CS,uIzwKRz1083,Busengo CS,287,,,,,,,,1.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0
43,Rwanda,North,Gicumbi District,Byumba Sub District,Shangasha,Bushara CS,F6QnSC5zVsx,Bushara CS,333,,,,,,,2.0,2.0,5.0,4.0,1.0,3.0,5.0,5.0,1.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,5.0,4.0,1.0,3.0,5.0,5.0,1.0,2.0
44,Rwanda,West,Nyamasheke District,Bushenge Sub District,Bushenge,Bushenge CS,JKaWGRNH6y3,Bushenge CS,252,,,,,,,55.0,124.0,129.0,138.0,99.0,194.0,91.0,97.0,99.0,87.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,55.0,124.0,129.0,138.0,99.0,194.0,91.0,97.0,99.0,87.0
45,Rwanda,West,Nyamasheke District,Bushenge Sub District,Bushenge,Bushenge PH,rCFUhSqFF0C,Bushenge PH,253,,,,,,,2.0,3.0,7.0,4.0,3.0,6.0,6.0,1.0,1.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,3.0,7.0,4.0,3.0,6.0,6.0,1.0,1.0,2.0
